merch_state,month_date,accommodation_cost,transaction_count,unique_visitors,min_cost,max_cost,q25,q75,data_quality_flag,period_start,period_end,calculation_timestamp
NJ,2025-02-01,183.44000244140625,222570,1130,60.360000610351562,1095.800048828125,127.09999847412109,300.82998657226562,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
DC,2025-02-01,426.6400146484375,220893,845,61.669998168945312,2539.570068359375,204.11000061035156,1072.68994140625,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
MA,2025-02-01,228.96000671386719,193074,895,57.069999694824219,1355.18994140625,131.42999267578125,405.29000854492188,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
ID,2025-02-01,179.6199951171875,173543,761,55.419998168945312,992.54998779296875,115.76999664306641,299.95999145507812,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
ND,2025-02-01,174.52000427246094,142421,706,71.9000015258789,845.55999755859375,122.41999816894531,281.85000610351562,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
CT,2025-02-01,185.83999633789062,76886,694,63.979999542236328,1138.5699462890625,106.93000030517578,314.6400146484375,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
NH,2025-02-01,242.28999328613281,49659,345,70.199996948242188,1073.8599853515625,148.53999328613281,388.83999633789062,EXCLUDE,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
DE,2025-02-01,163.97000122070312,37260,231,72.5999984741211,870.05999755859375,101.91999816894531,248.88999938964844,EXCLUDE,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
ME,2025-02-01,182.44999694824219,36680,257,54.889999389648438,1050.1600341796875,116.5,291.6099853515625,EXCLUDE,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
VT,2025-02-01,254.57000732421875,36413,205,61.139999389648438,1120.6300048828125,161.38999938964844,547.02001953125,EXCLUDE,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
RI,2025-02-01,308.8900146484375,15619,86,56.930000305175781,1348.5999755859375,167.82000732421875,569.280029296875,EXCLUDE,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
FL,2025-03-01,234.27999877929688,2834919,12209,56.599998474121094,3533.4599609375,123.31999969482422,491.23001098632812,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
TX,2025-03-01,200.83000183105469,2425842,11265,56.150001525878906,1509.2099609375,123.54000091552734,370.5,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
CA,2025-03-01,224.30999755859375,2374614,11099,61.080001831054688,2002.010009765625,118.90000152587891,447.47000122070312,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
NV,2025-03-01,199.08000183105469,2002125,7651,62.159999847412109,1605.93994140625,114.08999633789062,376.01998901367188,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
TN,2025-03-01,197.69999694824219,1433527,5973,56.069999694824219,1696.699951171875,114.12999725341797,367.3699951171875,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
IL,2025-03-01,210.1199951171875,1061304,4423,58.0099983215332,1402.0799560546875,135.33999633789062,359.239990234375,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
GA,2025-03-01,208.27999877929688,1008826,4723,59.590000152587891,1524.219970703125,128.92999267578125,361.8699951171875,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
VA,2025-03-01,196.25999450683594,993346,3939,60.069999694824219,1421.5400390625,124.29000091552734,340.35000610351562,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
MO,2025-03-01,197.41999816894531,979214,4199,59.360000610351562,1263.3499755859375,125.27999877929688,336.0,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
WI,2025-03-01,193.97999572753906,972909,4091,58.119998931884766,1175.5999755859375,127.72000122070312,317.3699951171875,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
